|CO_MUNICIPIO|NU_ANO_CENSO|CO_ENTIDADE|MEDIA_QTD_ALUNOS_POR_ESCOLA|MEDIA_NU_COMP_PARA_ALUNOS|COMP_POR_ALUNO(%)|NUM_ESCOLAS_INTERNET_MUNIC|MEDIA_SALAS_EXISTENTES|MEDIA_PONTUACAO|IOEB
2128|2924652|2015.0|29104971.0|219.23076923076923|7.0|7.859943860665671|9.0|5.615384615384616|414.23076923076917|3.6
2129|2924678|2015.0|29288908.0|73.08333333333333|0.4444444444444444|0.17094017094017094|2.0|1.8888888888888888|138.69444444444446|3.0
2130|2924702|2015.0|29261953.0|187.11111111111111|1.8888888888888888|0.5006565122261772|7.0|3.7222222222222223|272.5|4.0
2131|2924801|2015.0|29076200.0|151.775|1.8|0.6877117565693085|21.0|4.175|264.65|3.4
2132|2924900|2015.0|29234638.0|191.4375|2.1875|0.6041541217625108|7.0|4.1875|336.125|0.0
2133|2925006|2015.0|29275474.0|253.33333333333331|1.3333333333333333|0.261670615663699|16.0|5.866666666666666|428.6|3.6
2134|2925105|2015.0|29276411.0|361.55813953488365|7.837209302325581|2.3039832228442774|32.0|6.488372093023256|512.0930232558139|3.7
2135|2925204|2015.0|29160243.0|311.07142857142856|3.821428571428572|1.1465430450949827|20.0|8.428571428571429|479.1428571428572|3.6
2136|2925253|2015.0|29076838.0|210.1818181818182|3.333333333333333|0.7984671847635814|14.0|3.6060606060606064|264.7575757575757|2.8
2137|2925303|2015.0|29325951.0|336.97080291970804|5.0|1.1579327996615076|78.0|7.554744525547445|516.6350364963504|3.6
2138|2925402|2015.0|29284597.0|154.28571428571428|5.9523809523809526|3.1172758477118885|15.0|4.428571428571429|332.85714285714283|3.4
2139|2925501|2015.0|29326630.0|205.0|2.4888888888888894|0.9214196511370354|17.0|4.955555555555557|340.02222222222224|3.4
2140|2925600|2015.0|29066395.0|101.1818181818182|4.121212121212121|4.3873451065456734|12.0|3.2424242424242418|269.8181818181818|3.7
2141|2925709|2015.0|29262682.0|67.9090909090909|1.5454545454545454|3.893382494880104|6.0|2.2045454545454546|165.77272727272728|4.0
2142|2925758|2015.0|29289297.0|136.87692307692308|3.892307692307692|6.315037015702016|22.0|2.9230769230769234|235.8769230769231|3.5
2143|2925808|2015.0|29121310.0|320.1515151515151|4.757575757575758|1.1719467134718584|13.0|4.727272727272728|347.6969696969697|3.4
2144|2925907|2015.0|29122406.0|166.07272727272724|3.0727272727272728|2.7888437327415563|13.0|3.763636363636364|255.63636363636363|3.5
2145|2925931|2015.0|29077516.0|115.20833333333331|0.9583333333333334|0.3350898084498235|6.0|3.7916666666666665|266.2083333333333|3.0
2146|2925956|2015.0|29105757.0|157.075|4.425|3.0136375723044933|25.0|3.975|339.2|3.6
2147|2926004|2015.0|29030137.0|143.42105263157896|2.12280701754386|0.643603999399436|19.0|3.263157894736842|220.0|3.2
2148|2926103|2015.0|29142199.0|226.3125|2.9375|1.0538119292198136|10.0|7.6875|478.9375|3.6
2149|2926202|2015.0|29003350.0|95.17241379310344|3.9137931034482767|2.180636721271719|11.0|3.5|262.31034482758616|2.9
2150|2926301|2015.0|29142636.0|186.1379310344828|1.637931034482759|0.6815354182723234|29.0|4.396551724137931|280.6551724137931|3.6
2151|2926400|2015.0|29252539.0|367.10344827586215|4.379310344827586|1.5594082287474889|21.0|8.137931034482758|542.5172413793103|3.9
2152|2926509|2015.0|29132681.0|114.36363636363636|1.8863636363636365|1.0285562321434596|7.0|2.477272727272727|179.54545454545453|3.6
2153|2926608|2015.0|29133092.0|281.80327868852464|3.7868852459016393|1.2695283092800898|34.0|5.9344262295081975|446.1639344262295|4.2
2154|2926657|2015.0|29281768.0|74.9|2.125|0.6985738385008883|8.0|2.375|170.85|3.5
2155|2926707|2015.0|29219140.0|127.625|4.666666666666667|5.379504855802442|10.0|4.75|295.125|3.9
2156|2926806|2015.0|29263360.0|263.14285714285717|9.285714285714286|3.1406458599806446|9.0|6.428571428571429|517.6428571428571|4.0
2157|2926905|2015.0|29240131.0|120.21739130434784|2.4347826086956523|2.314674491922289|13.0|3.9565217391304346|288.5652173913044|3.8
2158|2927002|2015.0|29153930.0|203.3015873015873|2.3968253968253967|1.1243708150557092|22.0|5.0|356.42857142857144|3.8
2159|2927101|2015.0|29036038.0|146.94444444444446|3.7222222222222223|2.3178480911362747|10.0|4.0|344.61111111111114|3.3
2160|2927200|2015.0|29087236.0|184.50943396226413|4.09433962264151|2.2455383752777336|22.0|3.830188679245283|310.52830188679246|3.2
2161|2927309|2015.0|29170320.0|199.53846153846158|4.0|1.6671932792127482|17.0|4.807692307692308|385.26923076923083|3.3
2162|2927408|2015.0|29179319.0|428.8407547169811|8.80377358490566|3.4591802868290715|1255.0|11.122356495468278|793.0211480362539|3.6
2163|2927507|2015.0|29107440.0|139.15|0.975|0.15983046605452306|4.0|4.125|207.375|3.2
2164|2927606|2015.0|29114470.0|145.75862068965515|0.3448275862068966|0.06568144499178982|8.0|4.0344827586206895|248.24137931034485|3.4
2165|2927705|2015.0|29327296.0|361.24242424242425|0.7272727272727273|0.6193590008222288|22.0|6.363636363636362|378.96969696969705|3.0
2166|2927804|2015.0|29312434.0|208.0|5.777777777777778|2.6654530106703183|5.0|5.5555555555555545|408.22222222222223|3.2
2167|2927903|2015.0|29235057.0|191.82352941176467|3.117647058823529|1.1501298568601537|13.0|6.294117647058822|475.2352941176471|3.2
2168|2928000|2015.0|29144124.0|188.36842105263162|3.9649122807017534|4.067201341843832|27.0|4.859649122807016|306.35087719298247|3.6
2169|2928059|2015.0|29312728.0|122.75|0.0625|0.01940993788819876|9.0|2.5|183.40625|3.0
2170|2928109|2015.0|29014239.0|246.5|5.3269230769230775|2.6489548876333577|24.0|5.865384615384616|401.07692307692315|3.5
2171|2928208|2015.0|29015405.0|171.21951219512198|2.341463414634146|0.7171295931126422|13.0|5.414634146341463|302.0487804878049|3.7
2172|2928307|2015.0|29108047.0|105.44|0.92|0.2300378776971347|8.0|3.08|168.16|3.5
2173|2928406|2015.0|29008948.0|127.38181818181818|1.2181818181818185|1.376159648041929|13.0|4.090909090909091|270.74545454545455|3.5
2174|2928505|2015.0|29108578.0|90.48387096774192|1.1290322580645162|0.2713041685027477|9.0|2.9032258064516134|156.80645161290326|3.2
2175|2928604|2015.0|29170540.0|189.31034482758625|6.793103448275862|4.844429872200004|42.0|5.689655172413793|408.2528735632184|3.2
2176|2928703|2015.0|29171580.0|312.4479166666667|3.9375|1.5819392021784058|63.0|8.020833333333334|499.8125|3.8
2177|2928802|2015.0|29108900.0|272.07272727272726|4.945454545454545|1.8806208509917188|40.0|6.1454545454545455|415.10909090909087|3.3
