|CO_MUNICIPIO|ANO_CENSO|NUM_COMP_ALUNOS_POR_CIDADE|IOEB
381|1712454|2015.0|21.0|3.9
382|1712504|2015.0|31.0|4.0
383|1712702|2015.0|6.0|3.7
384|1712801|2015.0|33.0|3.5
385|1713205|2015.0|148.0|4.1
386|1713304|2015.0|79.0|4.1
387|1713601|2015.0|96.0|3.8
388|1713700|2015.0|18.0|0.0
389|1713809|2015.0|35.0|3.6
390|1713957|2015.0|12.0|3.9
391|1714203|2015.0|105.0|4.1
392|1714302|2015.0|12.0|0.0
393|1714880|2015.0|103.0|4.0
394|1715002|2015.0|36.0|4.7
395|1715101|2015.0|45.0|4.2
396|1715150|2015.0|23.0|4.6
397|1715259|2015.0|48.0|3.7
398|1715507|2015.0|14.0|3.9
399|1715705|2015.0|0.0|3.5
400|1715754|2015.0|57.0|4.6
401|1716109|2015.0|401.0|4.5
402|1716208|2015.0|91.0|3.7
403|1716307|2015.0|8.0|4.2
404|1716505|2015.0|138.0|4.3
405|1716604|2015.0|31.0|3.7
406|1716653|2015.0|42.0|4.0
407|1716703|2015.0|106.0|4.6
408|1717008|2015.0|43.0|4.0
409|1717206|2015.0|15.0|3.6
410|1717503|2015.0|67.0|3.6
411|1717800|2015.0|46.0|3.9
412|1717909|2015.0|58.0|4.4
413|1718006|2015.0|52.0|4.1
414|1718204|2015.0|615.0|4.4
415|1718303|2015.0|48.0|3.8
416|1718402|2015.0|55.0|4.5
417|1718451|2015.0|30.0|3.8
418|1718501|2015.0|10.0|3.4
419|1718550|2015.0|29.0|3.9
420|1718659|2015.0|18.0|4.0
421|1718709|2015.0|10.0|4.1
422|1718758|2015.0|56.0|4.0
423|1718808|2015.0|13.0|4.3
424|1718840|2015.0|14.0|4.1
425|1718865|2015.0|59.0|3.6
426|1718881|2015.0|15.0|4.0
427|1718899|2015.0|42.0|3.7
428|1718907|2015.0|53.0|3.9
429|1719004|2015.0|21.0|4.0
430|1720002|2015.0|7.0|3.8
431|1720101|2015.0|8.0|3.5
432|1720150|2015.0|3.0|4.2
433|1720200|2015.0|68.0|3.5
434|1720259|2015.0|24.0|4.1
435|1720309|2015.0|27.0|3.9
436|1720499|2015.0|41.0|4.6
437|1720655|2015.0|21.0|3.9
438|1720804|2015.0|41.0|3.9
439|1720853|2015.0|30.0|3.7
440|1720903|2015.0|138.0|4.0
441|1720937|2015.0|11.0|4.2
442|1720978|2015.0|29.0|3.9
443|1721000|2015.0|1974.0|4.7
444|1721109|2015.0|98.0|3.3
445|1721208|2015.0|213.0|4.0
446|1721257|2015.0|21.0|4.1
447|1721307|2015.0|21.0|4.0
448|1722081|2015.0|103.0|4.2
449|1722107|2015.0|51.0|4.1
450|2100055|2015.0|454.0|4.0
451|2100105|2015.0|54.0|3.4
452|2100154|2015.0|31.0|3.6
453|2100204|2015.0|72.0|3.4
454|2100303|2015.0|154.0|3.4
455|2100402|2015.0|0.0|0.0
456|2100436|2015.0|91.0|3.1
457|2100477|2015.0|230.0|4.0
458|2100501|2015.0|30.0|3.5
459|2100550|2015.0|31.0|3.2
460|2100600|2015.0|52.0|3.3
461|2100709|2015.0|61.0|3.2
462|2100808|2015.0|42.0|2.7
463|2100832|2015.0|74.0|3.2
464|2100873|2015.0|16.0|2.9
465|2100907|2015.0|510.0|2.8
466|2100956|2015.0|55.0|2.8
467|2101004|2015.0|94.0|3.6
468|2101103|2015.0|39.0|3.5
469|2101202|2015.0|806.0|3.8
470|2101251|2015.0|102.0|3.5
471|2101301|2015.0|35.0|3.2
472|2101350|2015.0|43.0|0.0
473|2101400|2015.0|448.0|3.5
474|2101509|2015.0|143.0|0.0
475|2101608|2015.0|753.0|3.5
476|2101707|2015.0|660.0|3.7
477|2101731|2015.0|18.0|3.5
478|2101772|2015.0|100.0|2.9
479|2101806|2015.0|48.0|3.5
480|2101905|2015.0|71.0|3.4
481|2101939|2015.0|17.0|3.4
482|2101970|2015.0|0.0|3.3
483|2102002|2015.0|142.0|3.2
484|2102036|2015.0|35.0|3.2
485|2102077|2015.0|31.0|3.5
486|2102101|2015.0|111.0|3.1
487|2102150|2015.0|20.0|3.2
488|2102200|2015.0|233.0|3.3
489|2102309|2015.0|228.0|3.5
490|2102325|2015.0|164.0|3.1
491|2102358|2015.0|83.0|3.5
492|2102374|2015.0|18.0|0.0
493|2102408|2015.0|7.0|2.6
494|2102507|2015.0|41.0|2.5
495|2102556|2015.0|128.0|3.9
496|2102606|2015.0|13.0|3.2
497|2102705|2015.0|18.0|3.6
498|2102754|2015.0|53.0|3.4
499|2102804|2015.0|197.0|3.6
500|2102903|2015.0|122.0|3.3
501|2103000|2015.0|1179.0|3.8
502|2103109|2015.0|25.0|3.4
503|2103125|2015.0|42.0|3.1
504|2103158|2015.0|66.0|2.5
505|2103174|2015.0|92.0|3.5
506|2103208|2015.0|376.0|3.5
507|2103257|2015.0|92.0|3.8
508|2103307|2015.0|398.0|3.6
